Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
depositsOf(address),deposits,False
deposit(address),"deposits, deposits",False
withdraw(address),"deposits, deposits",True
withdrawalAllowed(address),,False
withdraw(address),,False
constructor(address),"beneficiary, state",False
deposit(address),state,False
close(),"state, state",False
enableRefunds(),"state, state",False
beneficiaryWithdraw(),"state, beneficiary",True
withdrawalAllowed(address),state,False
"constructor(uint256,address,)","rate, wallet, token",False
function()externalpayable{buyTokens(msg.sender);}(),,True
buyTokens(address),"weiRaised, weiRaised, tokensSold, tokensSold",True
"constructor(uint256,uint256)","openingTime, closingTime",False
hasClosed(),closingTime,False
"constructor(uint256,uint256)",,False
"setMilestonesList(,,)","milestoningFinished, openingTime, closingTime, milestones, milestones, milestoneCount, milestoningFinished",False
getMilestoneTimeAndRate(uint256),"milestones, milestones",False
capReached(uint256),"milestones, milestones",False
getTokensSold(uint256),milestones,False
getFirstMilestoneStartsAt(),,False
getLastMilestoneStartsAt(),,False
constructor(),,False
getHistoricPrice(uint256),priceHistory,False
updatePrice(uint256),"priceHistory, updatedTime, ETHUSD, ETHUSD, updatedTime, ETHUSD",False
getPrice(uint256),ETHUSD,False
"mint(address,uint256)",,False
"constructor(uint256,address,,uint256,uint256,uint256,uint256,uint256,)","cap, minimumContribution, escrow, wallet, goal, usdPrice",False
capReached(),"tokensSold, cap",False
claimRefund(),"isFinalized, escrow",True
goalReached(),"tokensSold, goal",False
finalize(),"isFinalized, isFinalized",False
