Function Name,State Variables Modified,Can Transfer Ether
ReserveToken(),"name, symbol, tank, priceOfToken",True
MintTokens(),"tank, priceOfToken, minTokens, priceOfToken, maxTokens, tankAllowance, divForTank, valueOfContract, divForTank, divForTank, priceOfToken, totalSupply, maxSupply, totalSupply, tankImposedMax, totalSupply, priceOfToken, valueOfContract, totalSupply, divForPrice, balances",True
BurnAllTokens(),"balances, balances, coinprice, valueOfContract, totalSupply, coinprice, divForTank, tankAllowance, divForSellBack, valueOfContract, divForSellBack, totalSupply",True
BurnTokens(uint256),"balances, balances, coinprice, valueOfContract, totalSupply, coinprice, divForTank, tankAllowance, divForSellBack, valueOfContract, divForSellBack, totalSupply",True
CurrentCoinPrice(),"valueOfContract, totalSupply, divForTank",False
TankWithdrawSome(uint256),"tank, tankAllowance, valueOfContract, tankAllowance, tankOut, tankOut, tank",True
TankWithdrawAll(),"tank, tankAllowance, valueOfContract, tankAllowance, tankOut, tankOut, tankAllowance, tankOut, tank, tankAllowance, tankOut",True
TankDeposit(),"tank, tankOut, tankOut, valueOfContract, tankOut, tankOut",True
balanceOf(address),balances,False
"transfer(address,uint256)","balances, balances, balances, balances, balances, tank, divForTransfer, totalSupply, divForTransfer",True
"transferFrom(address,address,uint256)","balances, balances, allowed, balances, allowed, balances, balances, tank, divForTransfer, totalSupply, divForTransfer",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
GrabUnallocatedValue(),"tank, valueOfContract, tank, valueOfContract",True
TankTransfer(address),"tank, tank",True
SettankImposedMax(uint256),"tank, tankImposedMax",True
SetdivForSellBack(uint256),"tank, divForSellBack",True
SetdivForTank(uint256),"tank, divForTank",True
SetdivForPrice(uint256),"tank, divForPrice",True
SetfirstTTax(uint256),"tank, firstTTax",True
SetfirstTTaxAmount(uint256),"tank, firstTTaxAmount",True
SetsecondTTax(uint256),"tank, secondTTax",True
SetsecondTTaxAmount(uint256),"tank, secondTTaxAmount",True
SetminTokens(uint256),"tank, minTokens",True
SetmaxTokens(uint256),"tank, maxTokens",True
SetdivForTransfer(uint256),"tank, divForTransfer",True
