Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
constructor(),,False
totalSupply(),,False
balanceOf(address),,False
ownershipPercentageOf(address),,False
totalInvestors(),,False
allPayoutIds(),,False
getPayoutAmountForId(uint16),,False
getPayoutBlockForId(uint16),,False
ethToTokenExchangeRate(),,False
limitMaxInvestors(),,False
limitMinimumInvestmentWEI(),,False
limitCashoutRate(),,False
launchDate(),,False
payoutAmountFor(uint16),,True
payoutCollected(uint16),,True
payoutCollect(uint16),,True
calculateCashout(),,True
cashout(),,True
"transfer(address,uint)",,True
"function()publicpayable{if(msg.sender!=owner){if(msg.value>=minimum_wei&&block.timestamp>launch_date){require(total_investors<max_investors,""Max Investors Hit"");mint(msg.sender,msg.value);}if(!owner.send(msg.value)){revert();}}else{require(msg.value>0);}}()","owner, owner",True
"payout(uint16,uint)",,False
setExchangeRate(uint),,False
setCashoutRate(uint),,False
setMaxInvestors(uint),,False
setMinimumInvesementWEI(uint),,False
setLaunchDate(uint),,False
"ownerTransfer(address,address,uint)",,False
destroy(),owner,False
