Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint256)",,False
buy(address),,False
"transfer(address,uint256)",,False
myTokens(),,False
myDividends(bool),,False
reinvest(),,False
AcceptsEtheropoly(address),tokenContract,False
"tokenFallback(address,uint256,bytes)",,False
EtheropolyShrimpFarmer(address),ceoAddress,True
function()payablepublic{ceoAddress.transfer(msg.value);}(),ceoAddress,True
"tokenFallback(address,uint256,bytes)","initialized, tokenContract, claimedEggs, claimedEggs",False
hatchEggs(address),"initialized, referrals, referrals, referrals, EGGS_TO_HATCH_1SHRIMP, hatcheryShrimp, hatcheryShrimp, claimedEggs, lastHatch, claimedEggs, referrals, claimedEggs, referrals, marketEggs, marketEggs",True
sellEggs(),"initialized, claimedEggs, lastHatch, marketEggs, marketEggs, tokenContract",True
seedMarket(uint256),"marketEggs, ceoAddress, initialized, marketEggs",True
reinvest(),"tokenContract, tokenContract",False
"calculateTrade(uint256,uint256,uint256)",,False
calculateEggSell(uint256),"marketEggs, tokenContract",False
"calculateEggBuy(uint256,uint256)",marketEggs,False
calculateEggBuySimple(uint256),tokenContract,False
getMyShrimp(),hatcheryShrimp,True
getMyEggs(),claimedEggs,True
getEggsSinceLastHatch(address),"EGGS_TO_HATCH_1SHRIMP, lastHatch, hatcheryShrimp",False
getContractDividends(),tokenContract,False
getBalance(),tokenContract,False
