Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
balanceOf(address),,False
"transfer(address,uint256)",,False
Crowdsale(address),"wallet, token_reward",False
tokenBalance(),token_reward,False
phase_1_rate(),"eth_to_usd, phase_1_token_price",False
phase_2_rate(),"eth_to_usd, phase_2_token_price",False
phase_3_rate(),"eth_to_usd, phase_3_token_price",False
phase_4_rate(),"eth_to_usd, phase_4_token_price",False
getRate(),"phase_1_remaining_tokens, phase_2_remaining_tokens, phase_3_remaining_tokens, phase_4_remaining_tokens",False
function()payablepublic{buyTokens(msg.sender);}(),,True
buyTokens(address),"weiRaised, weiRaised",True
hasEnded(),end_Time,False
transferBack(uint256),"token_reward, owner",True
changeEth_to_usd(uint256),"eth_to_usd, eth_to_usd",True
