Function Name,State Variables Modified,Can Transfer Ether
"isTransferAllowed(address,address,address,address,uint)",,False
"deposit(address,address,uint256)",,False
"withdraw(address,address,uint256)",,False
addOracles(),"oracles, oracles",False
removeOracles(),"oracles, oracles",False
Treasury(address),,False
init(address),,False
function()payablepublic{revert();}(),,False
"deposit(bytes32,uint,uint,address,uint)",,True
"withdraw(bytes32,uint,address,uint,address)",,True
"getSharesPercentForPeriod(bytes32,uint)",,False
getUserBalance(bytes32),,False
getLockedUserBalance(bytes32),,False
getLockedUserDeposits(bytes32),,False
getTotalBmcDaysAmount(uint),,False
addDistributionPeriod(),,False
"isTransferAllowed(address,address,address,address,uint)",,False
"Profiterole(address,address,address)","bonusToken, treasury, wallet",False
function()payablepublic{revert();}(),,False
updateTreasury(address),treasury,False
updateWallet(address),wallet,False
addDistributionSources(),,False
removeDistributionSources(),,False
"withdrawBonuses(bytes32,uint,address,uint,address)","wallet, bonusToken",False
getTotalBonusesAmountAvailable(bytes32),"treasury, lastDepositDate, distributionDeposits, distributionDeposits",False
"getBonusesAmountAvailable(bytes32,uint)","distributionDeposits, treasury",False
getTotalDepositsAmountLeft(),"lastDepositDate, firstDepositDate, distributionDeposits, distributionDeposits",False
getDepositsAmountLeft(uint),distributionDeposits,False
distributeBonuses(uint),"bonusToken, wallet, firstDepositDate, firstDepositDate, lastDepositDate, distributionDeposits, lastDepositDate, distributionDeposits, treasury",True
"isTransferAllowed(address,address,address,address,uint)",,False
