Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"approve(address,address,uint256)",,False
"transfer(address,address,uint)",,False
"transferFrom(address,address,address,uint256)",,False
"mint(address,uint256)",,False
"increaseAllowance(address,address,uint256)",,False
"decreaseAllowance(address,address,uint256)",,False
"burn(address,uint)",,False
"burnFrom(address,address,uint)",,False
balanceOf(address),_owner,False
totalSupply(),,False
"allowance(address,address)",_owner,False
"mint(address,uint256)",,False
mintToggle(bool),,False
"approve(address,uint256)",,True
"increaseAllowance(address,uint256)",,True
"decreaseAllowance(address,uint256)",,True
"transfer(address,uint)",,True
"transferFrom(address,address,uint256)",,True
burn(uint256),,True
"burnFrom(address,uint256)",,True
name(),_name,False
symbol(),_symbol,False
decimals(),_decimals,False
