Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
"NormalToken(uint256,string,string,uint8)","totalSupply, totalSupply, name, symbol, decimals",True
"freezeAccount(address,bool)",frozenAccount,False
"transfer(address,uint256)","frozenAccount, frozenAccount",True
"transferFrom(address,address,uint256)","frozenAccount, frozenAccount, frozenAccount",True
"approve(address,uint256)","frozenAccount, frozenAccount",True
"increaseApproval(address,uint)","frozenAccount, frozenAccount",True
"decreaseApproval(address,uint)","frozenAccount, frozenAccount",True
