Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
transferAdminship(address),admin,False
SetAllow(address),allowed,False
setTransferLock(bool),transferLock,True
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowed, allowed",True
"approve(address,uint256)","allowed, allowed",True
"allowance(address,address)",allowed,False
"setFrozen(address,bool)",,False
"batch(,uint256)",,True
constructor(),"totalSupply, decimals, totalSupply, totalSupply",True
externalTokensRecovery(),,True
function()public{revert();}(),,False
