Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transfer(address,uint256)",,True
balanceOf(address),,False
EtheeraToken(address),"owner, totalSupply, INITIAL_SUPPLY, wallet, totalSupply",True
"mint(address,address,uint256)","wallet, wallet, wallet, wallet, totalSupply, totalSupply",False
showMyTokenBalance(address),,False
"EtheeraCrowdsale(uint256,address)","startTime, endTime, startTime, endTime, startTime, wallet, token, wallet",False
function()publicpayable{buyTokens(msg.sender);}(),,True
buyTokens(address),"isHardCapReached, isSoftCapReached, refundToBuyers, ratePerWei, tokens_sold, weiRaised, weiRaised, weiRaised, softCap, isSoftCapReached, isSoftCapReached, weiRaised, hardCap, isHardCapReached, isHardCapReached, token, wallet, tokens_sold, tokens_sold",True
hasEnded(),endTime,False
getRefund(),"wallet, token, token",True
debitAmountToRefund(),"wallet, isSoftCapReached, weiRaised",True
"withdrawTokensForEtheeraTeam(uint256,)","wallet, endTime, endTime, tokensForReservedFund, tokensForReservedFund, token, wallet, tokensForReservedFund, tokensForFoundersAndTeam, tokensForFoundersAndTeam, token, wallet, tokensForFoundersAndTeam, tokensForAdvisors, tokensForAdvisors, token, wallet, tokensForAdvisors, tokensForMarketing, tokensForMarketing, token, wallet, tokensForMarketing, tokensForTournament, tokensForTournament, token, wallet, tokensForTournament",True
