Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
constructor(),_administrators,True
addAdministator(address),_administrators,False
removeAdministator(address),_administrators,False
isAdministrator(address),_administrators,False
addManager(address),_managers,False
removeManager(address),_managers,False
isManager(address),_managers,False
"constructor(address,address)","controllerAddress, mntpToken, goldToken",True
setNewControllerAddress(address),controllerAddress,False
"addHeldTokens(address,uint256)","_userStakes, _userStakes, totalMntpHeld, totalMntpHeld, mntpRewardPerShare, goldRewardPerShare",False
freeHeldTokens(address),"totalMntpHeld, totalMntpHeld, _userStakes, _userStakes, _rewardMntpPayouts, _rewardGoldPayouts",False
"addRewardPerShare(uint256,uint256)","totalMntpHeld, MAGNITUDE, totalMntpHeld, MAGNITUDE, totalMntpHeld, mntpRewardPerShare, mntpRewardPerShare, goldRewardPerShare, goldRewardPerShare",False
"addUserPayouts(address,uint256,uint256)","_rewardMntpPayouts, _rewardMntpPayouts, _rewardGoldPayouts, _rewardGoldPayouts",False
getMntpTokenUserReward(address),"mntpRewardPerShare, MAGNITUDE",False
getGoldTokenUserReward(address),"goldRewardPerShare, MAGNITUDE",False
getUserMntpRewardPayouts(address),_rewardMntpPayouts,False
getUserGoldRewardPayouts(address),_rewardGoldPayouts,False
getUserStake(address),_userStakes,False
constructor(),controllerAddress,True
setNewControllerAddress(address),controllerAddress,False
"freezeUserStake(address,uint256,bytes32)","_userStakes, _userStakes",False
"unfreezeUserStake(address,uint256)","_userStakes, _userStakes",False
getUserFrozenStake(address),_userStakes,False
"constructor(address,address,address)","core, stakeFreezer, mntpToken, core, goldToken, core, tokenBankAddress",False
setTokenBankAddress(address),tokenBankAddress,False
setStakeFreezerAddress(address),stakeFreezer,False
switchActive(),"isActualContractVer, isActive, isActive",False
holdStake(uint256),"mntpToken, mntpToken, mntpToken, core",True
unholdStake(),"core, stakeFreezer, stakeFreezer, core, mntpToken",True
"distribShareProfit(uint256,uint256)","mntpToken, tokenBankAddress, goldToken, tokenBankAddress, core",True
withdrawUserReward(),"core, core, core, mntpToken, goldToken",True
withdrawRewardAndUnholdStake(),,False
addRewadToStake(),"core, core, core",True
freezeStake(bytes32),"stakeFreezer, core, stakeFreezer, stakeFreezer",True
unfreezeUserStake(address),"stakeFreezer, stakeFreezer, stakeFreezer",False
migrateToNewControllerContract(address),"isActualContractVer, isActive, core, stakeFreezer, stakeFreezer, mntpToken, goldToken, isActualContractVer",True
getMntpTokenUserReward(),core,True
getGoldTokenUserReward(),core,True
getUserMntpRewardPayouts(),core,True
getUserGoldRewardPayouts(),core,True
getUserStake(),core,True
getUserFrozenStake(),"stakeFreezer, stakeFreezer",True
getMntpBalance(),mntpToken,False
getGoldBalance(),goldToken,False
