Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
"allowance(address,address)",,False
decimals(),,False
constructor(),"owner, secretSigner, croupier",True
approveNextOwner(address),"owner, nextOwner",False
acceptNextOwner(),"nextOwner, owner, nextOwner",True
function()publicpayable{}(),,False
setSecretSigner(address),secretSigner,False
setCroupier(address),croupier,False
setMaxProfit(uint),maxProfit,False
increaseJackpot(uint),"jackpotSize, lockedInBets, jackpotSize",False
withdrawFunds(uint),"jackpotSize, lockedInBets, beneficiary_",True
kill(),"lockedInBets, beneficiary_, beneficiary_",True
"placeBet(uint,uint,uint,uint,bytes32,bytes32,uint)","secretSigner, maxProfit, lockedInBets, jackpotSize, jackpotSize, lockedInBets",True
"settleBet(uint,bytes32)",,False
"settleBetUncleMerkleProof(uint,uint40)",,False
refundBet(uint),"lockedInBets, jackpotSize",True
