Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
Ownable(),,True
transferOwnership(address),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"mint(address,uint256)","maxMintBlock, totalSupply, totalSupply, maxMintBlock",False
"multiTransfer(,)",,True
"Ammbr(string,string,uint8)","name, symbol, decimals",False
