Function Name,State Variables Modified,Can Transfer Ether
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
constructor(),historyOfRestarts,False
getPercents(uint),,False
"function()publicpayable{uintbalance=address(this).balance;(uintdepositPercent,uintreferrerLevelOnePercent,uintreferrerLevelTwoPercent,uintcashBackPercent,uinttechSupportPercent,uintadsSupportPercent)=getPercents(balance);if(msg.value==0){payWithdraw(msg.sender,balance,depositPercent);return;}if(msg.value==referrerPrice&&!referrers[msg.sender]&&waitingReferrers[msg.sender]==0&&deposits[msg.sender].sum!=0){waitingReferrers[msg.sender]=now;}else{addDeposit(msg.sender,msg.value,balance,referrerLevelOnePercent,referrerLevelTwoPercent,cashBackPercent,depositPercent,techSupportPercent,adsSupportPercent);}}()","referrerPrice, referrers, waitingReferrers, deposits, waitingReferrers",True
isNeedRestart(uint),"maxBalance, maxBalance",False
"calculateNewTime(uint,uint,uint,uint)",,False
"calculateNewDepositSum(uint,uint,uint)",,False
addReferrer(address),referrers,False
setReferrerPrice(uint),referrerPrice,False
setReferrerBeforeEndTime(uint),referrerBeforeEndTime,False
getDaysAfterStart(),historyOfRestarts,False
getDaysAfterLastRestart(),"historyOfRestarts, historyOfRestarts",False
