Function Name,State Variables Modified,Can Transfer Ether
setOwner(address),owner,False
setLock(),globalLocked,False
userRefund(),,True
"receiveApproval(address,uint256,address,bytes)",,False
"webGiftUnTransfer(address,address)",,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance, allowance",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
burn(uint256),"balanceOf, balanceOf, balanceOf, totalSupply, totalSupply",True
"burnFrom(address,uint256)",symbol,False
DonQuixoteToken(address),"owner, iniOwner, balanceOf, totalSupply, santaClaus",True
addYearToken(),"lastAddYear, totalSupply, lastAddYear, totalSupply, totalSupply, totalSupply, balanceOf, iniOwner, balanceOf, iniOwner, lastAddYear, lastAddYear, totalSupply",False
setSantaClaus(address),santaClaus,False
setWebGiftEtherAmount(uint256),webGiftEtherAmount,False
setStopSendWebGift(bool),stopSendWebGift,False
canSendWebGift(),"webGiftLineTime, stopSendWebGift, webGiftSentAmount, webGiftTotalAmount, balanceOf, iniOwner, webGiftOnceMaxAmount",False
canSendWebGifAmount(),"webGiftTotalAmount, webGiftSentAmount",False
setWebGiftOnceMaxAmount(uint256),"decimals, webGiftOnceMaxAmount",False
"sendWebGiftToken(address,uint256)",,True
"batchSendWebGiftToken(,uint256)",,True
"setGameTransferFlag(address,bool)",gameTransferFlagOf,True
addWhiteList(address),gameWhiteListOf,True
delWhiteList(address),gameWhiteListOf,True
"withhold(address,uint256)","gameTransferFlagOf, balanceOf",True
timesIsOver(address),"gameGiftInfoList, gameGiftUserDayTimes, gameGiftUserTotalTimes, gameGiftUserTotalTimes",False
setGameGiftOnceAmount(uint256),"decimals, gameGiftOnceAmount",False
gameGifIsOver(),"gameGiftLineTime, balanceOf, iniOwner, gameGiftOnceAmount, gameGiftMaxAmount, gameGiftSentAmount, gameGiftOnceAmount",False
sendGameGift(address),gameGiftOnceAmount,True
"sendGameGift2(address,uint256)",gameGiftOnceAmount,True
getIcoPrice(),"baseIcoPrice, createTime",False
icoIsOver(),"icoEndLine, icoedAmount, icoMaxAmount, balanceOf, iniOwner, icoMaxAmount, icoedAmount",False
getAvaIcoAmount(),"icoMaxAmount, icoedAmount, icoMaxAmount, icoedAmount",False
buyIcoToken1(),"userEtherOf, userEtherOf, totalSupply",True
buyIcoToken2(uint256),"userEtherOf, userEtherOf",True
logPlaying(address),"gameGiftLineTime, webGiftList",True
"webGiftUnTransfer(address,address)","iniOwner, webGiftList, gameGiftLineTime",False
restoreWebGift(address),"webGiftList, gameGiftLineTime, gameGiftLineTime, balanceOf, balanceOf, iniOwner",True
batchRestoreWebGift(),,False
function()publicpayable{if(msg.value>0){userEtherOf[msg.sender]=userEtherOf[msg.sender].add(msg.value);}if(msg.sender!=iniOwner){if((userEtherOf[msg.sender]>0)&&(!icoIsOver())){_buyIcoToken(totalSupply);}}}(),"userEtherOf, userEtherOf, iniOwner, userEtherOf, totalSupply",True
