Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint)",,False
"transfer(address,uint,bytes)",,False
"tokenFallback(address,uint,bytes)",,False
"transfer(address,uint,bytes)","balances, balances, balances, balances",True
"transfer(address,uint)","balances, balances, balances, balances",True
balanceOf(address),"balances, _owner",False
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
"constructor(string,string,uint8)","symbol, name, decimals, totalSupply, decimals, balances, totalSupply",True
setMarketPlaceAddress(address),,False
"transferFrom(address,address,uint,bytes)","balances, balances, balances, balances",False
"transferFrom(address,address,uint)","balances, balances, balances, balances",False
