Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint)",,False
"transferFrom(address,address,uint256)",,False
"allowance(address,address)",,False
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
balanceOf(address),,False
constructor(),owner,True
setOwner(address),owner,False
url(),,False
"getRate(bytes32,bytes)",,False
addCurrency(string),"supported, currencies",False
encodeCurrency(string),,False
decodeCurrency(bytes32),,False
getTotalLoans(),,False
getOracle(uint),,False
getBorrower(uint),,False
getCosigner(uint),,False
ownerOf(uint256),,False
getCreator(uint),,False
getAmount(uint),,False
getPaid(uint),,False
getDueTime(uint),,False
"getApprobation(uint,address)",,False
getStatus(uint),,False
isApproved(uint),,False
getPendingAmount(uint),,False
getCurrency(uint),,False
"cosign(uint,uint256)",,False
approveLoan(uint),,False
"transfer(address,uint256)",,False
takeOwnership(uint256),,False
"withdrawal(uint,address,uint256)",,False
identifierToIndex(bytes32),,False
url(),,False
"cost(address,uint256,bytes,bytes)",,False
"requestCosign(,uint256,bytes,bytes)",,False
"claim(address,uint256,bytes)",,False
supportsInterface(bytes4),_supportedInterfaces,False
tokenURI(uint256),,False
"constructor(string,string)","_name, _symbol, ERC_721_INTERFACE, ERC_721_METADATA_INTERFACE, ERC_721_ENUMERATION_INTERFACE",False
name(),_name,False
symbol(),_symbol,False
tokenURI(uint256),"_holderOf, _uriProvider",False
allTokens(),_allTokens,False
assetsOf(address),_assetsOf,False
totalSupply(),_allTokens,False
tokenByIndex(uint256),"_allTokens, _allTokens",False
"tokenOfOwnerByIndex(address,uint256)",_assetsOf,False
ownerOf(uint256),,False
balanceOf(address),,False
"isApprovedForAll(address,address)",,False
getApprovedAddress(uint256),,False
"isAuthorized(address,uint256)",,False
"setApprovalForAll(address,bool)","_operators, _operators",True
"approve(address,uint256)",_approval,True
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,False
"transferFrom(address,address,uint256)",,False
"withdrawTokens(,address,uint256)",,True
"withdrawErc721(,address,uint256)",,True
"withdrawEth(address,uint256)",,True
"getReturn(,,uint256)",,False
"convert(,,uint256,uint256)",,False
"executeOrder(uint256,uint256)",,False
"updateLandData(int,int,string)",,False
decodeTokenId(uint),,False
"safeTransferFrom(address,address,uint256)",,False
ownerOf(uint256),,False
"setUpdateOperator(uint256,address)",,False
"constructor(,,)","rcn, mana, land, mortgages",False
url(),,False
"setEngine(address,bool)",engines,False
setURIProvider(),,False
"setCreator(address,bool)",creators,False
"cost(address,uint256,bytes,bytes)",,False
"requestMortgage(,bytes32,uint256,,uint256,)",,False
"requestMortgageId(,,uint256,uint256,uint256,)","MANA_CURRENCY, engines, creators, rcn, REQUIRED_ALLOWANCE, loanToLiability, mana, mortgages, loanToLiability",True
cancelMortgage(uint256),"mortgages, mana",True
"requestCosign(,uint256,bytes,bytes)","mortgages, engines, rcn, rcn, mana, mana, flagReceiveLand, mana, flagReceiveLand, land, land, mana, mortgageByLandId",True
"claim(address,uint256,bytes)","loanToLiability, mortgages, land, land, mortgageByLandId",True
"isDefaulted(,uint256)",,False
"onERC721Received(uint256,address,bytes)","land, flagReceiveLand, flagReceiveLand",True
"onERC721Received(address,uint256,bytes)","land, flagReceiveLand, flagReceiveLand",True
"onERC721Received(address,address,uint256,bytes)","land, flagReceiveLand, flagReceiveLand",True
getData(uint256),,False
"updateLandData(uint256,string)","land, mortgages, land",True
