Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
transferOwnership(address),"owner, owner",False
balanceOf(address),,False
ownerOf(uint256),,False
"approve(address,uint256)",,False
getApproved(uint256),,False
"setApprovalForAll(address,bool)",,False
"isApprovedForAll(address,address)",,False
"transferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256)",,False
"safeTransferFrom(address,address,uint256,bytes)",,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
constructor(),,False
ownerOf(uint256),erc721Address,False
balanceOf(),,False
getApproved(uint256),erc721Address,False
"setPrice(uint256,uint256,uint256)","erc721Address, prices, usdtPrices",True
"setPriceFeeEth(uint256,uint256)","erc721Address, prices, prices, prices, ETHFee, Percen, limitETHFee, limitETHFee, prices, ETHFee, Percen, prices",True
"setPriceFeeHBWALLETTest(uint256,uint256)","ETHFee, Percen, HBWALLETExchange",False
"setPriceFeeHBWALLET(uint256,uint256)","erc721Address, prices, prices, prices, ETHFee, Percen, HBWALLETExchange, limitHBWALLETFee, hbwalletToken, hbwalletToken, limitHBWALLETFee, prices, ETHFee, Percen, HBWALLETExchange, prices",True
removePrice(uint256),"erc721Address, prices, prices, prices, hbwalletToken, prices, prices",True
getPrice(uint256),"erc721Address, prices, prices, prices, usdtPrices",False
"setFee(uint256,uint256)","ETHFee, HBWALLETExchange, ETHFee, HBWALLETExchange",False
"setLimitFee(uint256,uint256)","limitETHFee, limitHBWALLETFee, limitETHFee, limitHBWALLETFee",False
"withdraw(address,uint256)",,True
buy(uint256),"prices, prices, erc721Address, prices, prices",True
buyByUsdt(uint256),"usdtPrices, erc721Address, usdtToken, usdtPrices, usdtPrices, erc721Address, usdtPrices",True
