Function Name,State Variables Modified,Can Transfer Ether
owned(),owner,True
transferOwnership(address),owner,False
isAddress(address),,False
getBalance(),,False
seeMyNumbers(),,True
seeAllNumbers(),,False
seeAllPlayers(),,False
setMaxNumber(uint8),maxnumber,False
setMaxPlayers(uint8),maxplayers,False
setMinAmount(uint),minAmount,False
"setMyCut(uint256,uint256)","myWinShare, myLoseShare",False
determineWinner(),"owner, myWinShare, owner, myLoseShare",True
getNumAdd(uint8),,False
getResults(),,False
startOver(),roundnum,False
