Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
function()externalpayable{buyTokens(msg.sender);}(),,True
token(),_IFX,False
fundingWallet(),_fundingWallet,False
rate(),_rate,False
rateWithBonus(),_rateCurrent,False
bonus(),_bonus,False
weiRaised(),_weiRaised,False
ifxSold(),_ifxSold,False
buyTokens(address),"_rateCurrent, _ifxSold, _weiRaised, _weiRaised, _ifxSold, _ifxSold, _IFX, _tokenSaleWallet, _fundingWallet",True
