Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
mint(),,False
coinAge(),,False
annualInterest(),,False
constructor(),_owner,True
owner(),_owner,False
isOwner(),_owner,True
renounceOwnership(),"_owner, _owner",False
transferOwnership(address),,True
constructor(),"maxTotalSupply, totalInitialSupply, chainStartTime, chainStartBlockNumber, totalInitialSupply, totalSupply, totalInitialSupply, stakeStartTime",True
"transfer(address,uint256)",,True
totalSupply(),totalSupply,False
balanceOf(address),_owner,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",_owner,False
mint(),"totalSupply, totalSupply",True
getBlockNumber(),chainStartBlockNumber,False
coinAge(),,True
annualInterest(),,False
getProofOfStakeReward(address),"stakeStartTime, stakeStartTime, noPOSRewards",False
getPeriodNumber(uint),,False
"getCoinAgeofPeriod(address,uint,uint)","stakeMinAge, stakeMaxAge, stakeMaxAge, stakeMinAge, stakeMinAge, stakeMaxAge, stakeMaxAge, stakeMinAge",True
burn(uint256),"totalSupply, totalSupply",True
ownerBurnToken(uint),"totalSupply, totalSupply, totalInitialSupply, totalInitialSupply, maxTotalSupply, maxTotalSupply",True
"batchTransfer(,)",,True
"disablePOSReward(address,bool)",noPOSRewards,False
