Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
HolderBase(uint256),coeff,False
getHolderCount(),holders,False
"initHolders(,)","initialized, holders, MAX_HOLDERS, holders, coeff, initialized",False
RefundVault(address),"wallet, state",False
deposit(address),"state, deposited, deposited",False
close(),"state, state, wallet",True
enableRefunds(),"state, state",False
refund(address),"state, deposited, deposited",True
"MultiHolderVault(address,uint256)",,False
close(),"state, initialized",False
