Function Name,State Variables Modified,Can Transfer Ether
"newBP(bool,address,uint,uint,string,string)","commitThreshold, autoreleaseInterval, title, commitThreshold, autoreleaseInterval, title, BPs",False
getBPCount(),BPs,False
"BurnablePayment(bool,address,uint,uint,string,string)","autoreleaseInterval, title, amountDeposited, title, state, payer, state, worker, commitThreshold, autoreleaseInterval",False
addFunds(),"amountDeposited, state, state",True
recoverFunds(),"state, payer, state, worker",False
commit(),"commitThreshold, amountDeposited, state, worker, payer, state, autoreleaseTime, autoreleaseInterval",True
burn(uint),,False
release(uint),,False
logPayerStatement(string),,False
logWorkerStatement(string),,False
delayAutorelease(),"autoreleaseTime, autoreleaseInterval",False
triggerAutorelease(),autoreleaseTime,False
getFullState(),"state, payer, worker, title, commitThreshold, amountDeposited, amountBurned, amountReleased, autoreleaseInterval, autoreleaseTime",False
