Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),totalSupply_,False
balanceOf(address),balances,False
"allowance(address,address)",allowed,False
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
finishMinting(),mintingFinished,False
"mint(address,uint256)","totalSupply_, cap, totalSupply_, totalSupply_, balances, balances",False
pause(),paused,False
unpause(),paused,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
"approve(address,uint256)",allowed,True
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
burn(uint256),,True
constructor(uint256),"cap, owner",True
