Function Name,State Variables Modified,Can Transfer Ether
transferOwnership(address),"owner, owner",False
"transfer(address,uint256)","blockEndICO, owner",True
balanceOf(address),,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
MineBlocks(),"totalSupply, name, symbol",True
function()publicpayable{buy();}(),,False
deposit(),"tokenReward, totalSupply",True
withdrawReward(),"tokenReward, tokenReward",True
withdraw(uint),,True
buy(),"buyPrice, tokenUnit, MineBlocksAddr",True
"approveAndCall(address,uint256,bytes)",,True
"receiveApproval(address,uint256,address,bytes)",,False
