Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),owner,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
setEndOfICO(uint),,False
"transfer(address,uint256)",,True
freezeToken(),,False
balanceOf(address),,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
finishMinting(),"mintingFinished, mintingFinished",False
burn(uint),"totalSupply, totalSupply",True
"burnFrom(address,uint)","totalSupply, totalSupply",True
setContractAddress(address),contractAddress,False
SimpleTokenCoin(),"forBounty, forTeamCOT, forFund, forLoyalty",False
sendETHfromContract(),forTeamETH,True
"multisend(,)",bonus,True
"approveAndCall(uint,bytes)","contractAddress, contractAddress",True
"receiveApproval(address,uint256,bytes)",,False
"changeBonusSystem(,)","bonus, bonus, availableTokensAmount, bonus",False
getCurrentBonusSystem(),"bonus, bonus, bonus, bonus",False
"setPeriods(uint,uint,uint,uint,uint,uint)","startPreICO, periodPreICO, startICO, firstPeriodOfICO, secondPeriodOfICO, thirdPeriodOfICO, bonus, bonus, bonus, bonus, bonus, bonus, bonus, bonus, bonus, bonus, bonus, bonus",False
setRate(uint),rate,False
Crowdsale(),"rate, startPreICO, periodPreICO, startICO, firstPeriodOfICO, secondPeriodOfICO, thirdPeriodOfICO, hardcap, softcap, maxTokensAmount, availableTokensAmount, maxTokensAmount, totalSupply",False
refund(),softcap,True
function()externalpayable{createTokens();}(),,False
