Function Name,State Variables Modified,Can Transfer Ether
constructor(),"owner, manager",True
transferOwnership(address),,True
transferManager(address),"manager, manager",False
pause(),paused,False
unpause(),paused,False
"tokenFallback(address,uint,bytes)",,False
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,False
name(),,False
symbol(),,False
decimals(),,False
"transfer(address,uint,bytes)",,False
setLockToken(bool),useLock,False
lockAccounts(),lockedAccount,False
unlockAccounts(),lockedAccount,False
constructor(),"symbol, name, decimals, totalSupply, totalSupply, totalSupply",True
name(),name,False
symbol(),symbol,False
decimals(),decimals,False
totalSupply(),totalSupply,False
"transfer(address,uint,bytes)",,True
"transfer(address,uint)",,True
balanceOf(address),,False
burn(uint256),"totalSupply, totalSupply",True
"approve(address,uint)",,True
"increaseApproval(address,uint)",,True
"decreaseApproval(address,uint)",,True
"transferFrom(address,address,uint)",,True
"allowance(address,address)",,False
function()publicpayable{revert();}(),,False
"transferAnyERC20Token(address,uint)",owner,True
