Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transfer(address,uint256)",,True
balanceOf(address),,False
RevolutionCoin(),"owner, ethStore, totalSupply, INITIAL_SUPPLY, ethStore, INITIAL_SUPPLY, decimals, TOKENS_SOLD",False
function()publicpayable{buy(msg.sender);}(),,True
buy(address),"TOKENS_SOLD, decimals, owner, owner, owner, owner, ethStore",True
getTokenBalance(address),decimals,False
