Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
balanceOf(address),,False
"transfer(address,uint256)",,False
"increaseFrozen(address,uint256)",,False
burn(uint256),,False
isWhitelisted(address),,False
addToWhitelist(),,False
removeFromWhitelist(),,False
toSmallrtc(uint256),decimals,False
toRtc(uint256),decimals,False
updateMaxGasPrice(uint256),,False
setupCrowdsale(uint256),"isCrowdSaleSetup, beneficiaryWallet, tokenReward, beneficiaryWallet, tokensPerEthPrice, fundingMinCapInWei, decimals, amountRaisedInWei, initialSupply, tokensRemaining, initialSupply, fundingStartTime, white_duration, p1_duration, p1_start, fundingStartTime, white_duration, p2_start, p1_start, p1_duration, fundingEndTime, p2_start, isCrowdSaleSetup, isCrowdSaleClosed",False
setBonusPrice(),"isCrowdSaleSetup, p1_start, p1_duration, p2_start, fundingStartTime, p1_start, p1_start, p1_start, p1_duration, p2_start, p2_start, p2_start, p2_start, p2_start, p2_start, p2_start, p2_start, p2_start, fundingEndTime",False
updateDuration(uint256),"isCrowdSaleSetup, p2_start, p1_start, p1_duration, p2_start, fundingStartTime, p1_duration, p2_start, fundingEndTime, p2_start",False
function()externalpayable{require(tx.gasprice<=maxGasPrice);require(msg.data.length==0);BuyRTCtokens();}(),,False
BuyRTCtokens(),"isCrowdSaleSetup, fundingStartTime, fundingEndTime, tokensRemaining, p1_start, tokensPerEthPrice, tokensRemaining, tokensRemaining, tokensRemaining, amountRaisedInWei, amountRaisedInWei, tokensRemaining, tokensRemaining, tokenReward, tokenReward",True
beneficiaryMultiSigWithdraw(),"areFundsReleasedToBeneficiary, amountRaisedInWei, fundingMinCapInWei, beneficiaryWallet",True
checkGoalReached(),"isCrowdSaleSetup, amountRaisedInWei, fundingMinCapInWei, fundingEndTime, fundingStartTime, areFundsReleasedToBeneficiary, isCrowdSaleClosed, amountRaisedInWei, fundingMinCapInWei, fundingStartTime, areFundsReleasedToBeneficiary, isCrowdSaleClosed, amountRaisedInWei, fundingMinCapInWei, fundingEndTime, areFundsReleasedToBeneficiary, isCrowdSaleClosed, amountRaisedInWei, fundingMinCapInWei, tokensRemaining, areFundsReleasedToBeneficiary, isCrowdSaleClosed, amountRaisedInWei, fundingMinCapInWei, fundingEndTime, tokensRemaining, areFundsReleasedToBeneficiary, isCrowdSaleClosed, amountRaisedInWei, fundingMinCapInWei, tokensRemaining, fundingEndTime, areFundsReleasedToBeneficiary, isCrowdSaleClosed",False
refund(),"amountRaisedInWei, fundingMinCapInWei, isCrowdSaleClosed, fundingEndTime",True
burnRemainingTokens(),"fundingEndTime, tokenReward, tokenReward",False
