Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
constructor(),,False
"depositERC20(address,address,uint256,uint256)",lockedBalances,True
"depositETH(address,uint256)",lockedBalances,False
"withdraw(address,address,uint256,uint256)","lockedBalances, lockedBalances, lockedBalances, lockedBalances, lockedBalances",True
"getAvailableBalanceOf(address,address)","lockedBalances, lockedBalances, lockedBalances",False
"getLockedBalanceOf(address,address)","lockedBalances, lockedBalances, lockedBalances",False
"getNextReleaseTimeOf(address,address)","lockedBalances, lockedBalances, lockedBalances, lockedBalances",False
