Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
balanceOf(address),,False
"transfer(address,uint256)",,False
"tokenFallback(address,uint256,bytes)",,False
EcoValueCoin(),"owner, totalSupply, initialSupply, balances, owner, totalSupply, transferGrants, owner",True
function()payablepublic{revert();}(),,False
balanceOf(address),balances,False
"transfer(address,uint256)","balances, balances, balances, balances, balances",True
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
burn(uint256),"balances, balances, balances, totalSupply, totalSupply",True
enableTransfers(),"transferable, transferable",True
grantTransferRight(address),"transferable, transferGrants, transferGrants",True
cancelTransferRight(address),"transferable, transferGrants, transferGrants",True
withdrawERC20Tokens(address),"owner, owner",True
withdrawEther(),"owner, owner",True
