Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint256)","allowed, allowed, allowed",True
"decreaseApproval(address,uint256)","allowed, allowed, allowed, allowed",True
pause(),paused,False
unpause(),paused,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
burn(uint256),,True
constructor(),"INITIAL_SUPPLY, INITIAL_SUPPLY",True
"transferTokens(address,uint256)","owner, owner, owner",False
"constructor(string,)","VERSION, ren",False
"appendDarknode(address,address,uint256,bytes,uint256,uint256)","darknodeRegistry, darknodes",False
begin(),darknodes,False
next(address),darknodes,False
removeDarknode(address),"darknodeRegistry, darknodeRegistry, darknodes, ren, owner",True
"updateDarknodeBond(address,uint256)","darknodeRegistry, darknodeRegistry, ren, owner",True
"updateDarknodeDeregisteredAt(address,uint256)",darknodeRegistry,False
darknodeOwner(address),darknodeRegistry,False
darknodeBond(address),darknodeRegistry,False
darknodeRegisteredAt(address),darknodeRegistry,False
darknodeDeregisteredAt(address),darknodeRegistry,False
darknodePublicKey(address),darknodeRegistry,False
