Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
reclaimToken(),owner,False
pause(),paused,False
unpause(),paused,False
constructor(address),KIND,False
"payAndDistribute(address,uint256,uint256,uint256,string)","KIND, KIND, KIND, KIND",True
getKindAddress(),,False
getTokenBalance(),KIND,False
