Function Name,State Variables Modified,Can Transfer Ether
BinksBucks(address),"imperator, _balances, _totalSupply, _balances, _totalSupply",True
totalSupply(),_totalSupply,False
decimals(),_decimals,False
balanceOf(address),_balances,False
"transfer(address,uint)","_balances, _balances",True
"allowance(address,address)",,False
"approve(address,uint)",,True
"transferFrom(address,address,uint)","_balances, _balances",True
transferEmpire(address),"imperator, imperator",True
setCode(uint),"imperator, _code, _distributions_left, _max_distributions, _distribution_number",True
setMaxDistributions(uint),"imperator, _max_distributions",True
setDistributionSize(uint),"imperator, _distribution_size",True
CodeEligible(),"_code, _distributions_left, _distribution_number, _last_distribution",True
EnterCode(uint),"_code, _last_distribution, _distribution_number, _distributions_left, _distribution_size, _distribution_size, _balances, _distribution_size, _balances, _distribution_size, _distribution_size",True
