Function Name,State Variables Modified,Can Transfer Ether
"MultiSigWallet(,uint,uint)","isOwner, isOwner, owners, required, lastTransactionTime, recoveryModeTriggerTime",False
enterRecoveryMode(),"lastTransactionTime, recoveryModeTriggerTime, required",False
"submitTransaction(address,uint,bytes)",,False
confirmTransaction(uint),confirmations,True
revokeConfirmation(uint),confirmations,True
executeTransaction(uint),"transactions, lastTransactionTime",True
isConfirmed(uint),"owners, confirmations, owners, required",False
getConfirmationCount(uint),"owners, confirmations, owners",False
"getTransactionCount(bool,bool)","transactionCount, transactions, transactions",False
getOwners(),owners,False
getConfirmations(uint),"owners, owners, confirmations, owners, owners",False
"getTransactionIds(uint,uint,bool,bool)","transactionCount, transactionCount, transactions, transactions",False
