Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"MultiToken(uint,string,uint,string,string,uint)","totalSupply, name, symbol, decimals, version, tokenPrice, balances, totalSupply, codeExportEnabled, exchangeEnabled",False
swapTokens(),"exchangeEnabled, decimals, tokenPrice, balances, owner, balances, balances, owner, owner, owner",True
"mintToken(address,uint256)","balances, totalSupply",False
"transfer(address,uint)","balances, balances, balances, balances, balances",True
"transferFrom(address,address,uint256)","balances, allowed, balances, balances, balances, balances, allowed, allowed",True
balanceOf(address),balances,False
"approve(address,uint)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
