Function Name,State Variables Modified,Can Transfer Ether
"Crowdsale(uint256,uint256,uint256,address)","token, startTime, endTime, rate, wallet",False
function()externalpayable{buyTokens(msg.sender);}(),,True
buyTokens(address),"beneficiary, weiRaised, weiRaised, token, beneficiary, beneficiary",True
hasEnded(),endTime,False
CappedCrowdsale(uint256),cap,False
hasEnded(),"weiRaised, cap",False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
finalize(),"isFinalized, isFinalized",False
getPoolCapSize(uint),,False
"LuckCashCrowdsale(uint256,uint256,uint256,address,address)","whitelistRegistry, token",False
"mintTokensFor(address,uint256,uint)","beneficiary, token, beneficiary, beneficiary",False
"createVestFundFor(address,uint256,uint256,uint)","beneficiary, quarters, beneficiary, endTime, quarters, token, token, beneficiary",False
transferFromCrowdsaleToUserAdoptionPool(),"endTime, cap, weiRaised",True
"VestingFund(address,uint256,uint256,address)","beneficiary, quarters, start, token",False
release(),"released, released, token, beneficiary",False
releasableAmount(),released,False
vestedAmount(),"token, released, start, start, quarters, quarters",False
"addToWhiteList(address,uint,uint)",whitelist,False
removeFromWhiteList(address),whitelist,False
isWhiteListed(address),whitelist,False
"isAmountAllowed(address,uint)","whitelist, whitelist",False
finalize(),"isFinalized, isFinalized",False
pause(),paused,False
unpause(),paused,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
CappedToken(uint256),cap,False
"mint(address,uint256)",cap,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,False
"increaseApproval(address,uint)",,False
"decreaseApproval(address,uint)",,False
LuckCashToken(uint),,False
