Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
isToken(),,False
burn(uint),BURN_ADDRESS,True
isUpgradeAgent(),,False
"upgradeFrom(address,uint256)",,False
UpgradeableToken(address),upgradeMaster,False
upgrade(uint256),"totalUpgraded, totalUpgraded, upgradeAgent, upgradeAgent",True
setUpgradeAgent(address),"upgradeMaster, upgradeAgent, upgradeAgent, upgradeAgent, upgradeAgent",True
getUpgradeState(),"upgradeAgent, totalUpgraded",False
setUpgradeMaster(address),"upgradeMaster, upgradeMaster",True
canUpgrade(),,False
Ownable(),owner,True
transferOwnership(address),owner,False
setReleaseAgent(address),releaseAgent,False
"setTransferAgent(address,bool)",transferAgents,True
"setLockAddress(address,bool)",lockAddresses,False
releaseTokenTransfer(),released,False
"transfer(address,uint)",,True
"transferFrom(address,address,uint)",,True
"mint(address,uint)",,False
"setMintAgent(address,bool)",mintAgents,False
"CrowdsaleToken(string,string,uint,uint,bool)","owner, name, symbol, decimals, owner, owner, mintingFinished",True
releaseTokenTransfer(),mintingFinished,False
canUpgrade(),released,False
"setTokenInformation(string,string)","name, symbol, name, symbol",False
"BurnableCrowdsaleToken(string,string,uint,uint,bool)",,False
"AMLToken(string,string,uint,uint,bool)",,False
transferToOwner(address),"released, owner, owner, owner",False
