Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"addTransaction(address,address,address,uint8,uint32,bytes32,bytes20)",,True
"addTokenTransaction(address,address,address,uint8,uint32,bytes32,uint256,bytes20,address)",,True
"checkBeneficiary(bytes32,address)",transactions,False
"checkVote(bytes32,address)",transactions,False
addFundsToTransaction(bytes32),"transactions, transactions",True
"addTokensToTransaction(bytes32,uint256)","transactions, transactions, transactions",True
getAllTransactionsForParty(address),partyVsTransaction,False
"execute(,,,bytes32,,)","transactions, transactions, transactions",True
"calculateRedeemScriptHash(bytes20,uint8,uint32,address,address,address,address)",,False
