Function Name,State Variables Modified,Can Transfer Ether
"tokenFallback(address,uint,bytes)",,False
"constructor(,uint)","isOwner, isOwner, owners, required",False
function()publicpayable{}(),,False
addOwner(address),"isOwner, owners",False
removeOwner(address),"isOwner, owners, owners, owners, owners, owners, owners, required, owners, owners",False
"replaceOwner(address,address)","owners, owners, owners, isOwner, isOwner",False
changeRequirement(uint),required,False
"submitTransaction(address,uint,bytes)",,False
confirmTransaction(uint),confirmations,True
revokeConfirmation(uint),confirmations,True
executeTransaction(uint),transactions,True
isConfirmed(uint),"owners, confirmations, owners, required",False
getConfirmationCount(uint),"owners, confirmations, owners",False
"getTransactionCount(bool,bool)","transactionCount, transactions, transactions",False
getOwners(),owners,False
getConfirmations(uint),"owners, owners, confirmations, owners, owners",False
"getTransactionIds(uint,uint,bool,bool)","transactionCount, transactionCount, transactions, transactions",False
"tokenFallback(address,uint,bytes)",,False
getMaxProfit(address),,False
"gameTokenResolution(uint,address,uint,address,uint)",,False
"payJackpotToWinner(address,uint)",,False
"gamePayoutResolver(address,uint)",,False
isTokenBankroll(address),,False
getTokenBankrollAddressFromTier(uint8),,False
"tokenFallback(address,uint,bytes)",,False
"constructor(address,uint,string)",,False
getMaxProfit(),,True
ownerPauseGame(),,False
ownerResumeGame(),,False
ownerSetResolverPercentage(uint),,False
ownerSetControllerAddress(address),,False
ownerSetGameName(string),,False
getGameName(),,False
resolveExpiredBets(uint),,True
finishBet(),,True
"execute(address,uint,uint,bytes)",,False
"isBetValid(uint,uint,bytes)",,False
"constructor(address,uint,string)",,False
getLastRollOutput(address),,False
"getRollOutput(uint,uint8,uint8,uint,address)",,False
"getRollResults(uint,uint8,uint8,uint,address)",,False
"execute(address,uint,uint,bytes)",,False
"isBetValid(uint,uint,bytes)","minBet, minNumber, maxNumber",False
