Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
renounceOwnership(),"owner, owner",False
transferOwnership(address),,True
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
transferBZxOwnership(address),"owner, bZxContractAddress, bZxContractAddress",True
transferOwnership(address),"bZxContractAddress, owner, owner",True
"fillOrder(,,uint,bool,uint8,bytes32,bytes32)",,False
"fillOrdersUpTo(,,uint,bool,,,)",,False
"isValidSignature(address,bytes32,uint8,bytes32,bytes32)",,False
"constructor(address,address,address)","exchangeContract, zrxTokenContract, tokenTransferProxyContract",False
function()public{revert();}(),,False
"take0xTrade(address,address,uint,bytes,bytes)",,False
getOrderValuesFromData(bytes),,False
getSignatureParts(bytes),,False
"getPartialAmount(uint,uint,uint)",,False
set0xExchange(address),exchangeContract,False
setZRXToken(address),zrxTokenContract,False
set0xTokenProxy(address),tokenTransferProxyContract,False
"approveFor(address,address,uint)",,False
