Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
etherProceeds(),,True
commonWithdraw(uint256),"totalCommonWithdrawSupply, totalCommonWithdrawSupply",True
withdrawToTeam(),"TEAM_KEEPING, hasTeamKeepingWithdraw",True
"withdrawToPartner(address,uint256)","totalPartnerWithdrawSupply, totalPartnerWithdrawSupply",False
"function()payableexternalnotBeforeTime(startTime)notAfterTime(endTime)notReachPublicFundingSupply(msg.value,rate){require(publicFundingWhiteList[msg.sender]==1);require(userPublicFundingEthCountMap[msg.sender].add(msg.value)<=publicFundingPersonalEthLimit);processFunding(msg.sender,msg.value,rate);uint256amount=msg.value.mul(rate);totalPublicFundingSupply=totalPublicFundingSupply.add(amount);userPublicFundingEthCountMap[msg.sender]=userPublicFundingEthCountMap[msg.sender].add(msg.value);}()","publicFundingWhiteList, userPublicFundingEthCountMap, publicFundingPersonalEthLimit, rate, rate, totalPublicFundingSupply, totalPublicFundingSupply, userPublicFundingEthCountMap, userPublicFundingEthCountMap",True
"transfer(address,uint256)",lockEpochsMap,True
balanceOf(address),,False
"transferFrom(address,address,uint256)",lockEpochsMap,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
addPublicFundingWhiteList(),publicFundingWhiteList,False
refreshRate(uint256),rate,False
"refreshPublicFundingTime(uint256,uint256)","startTime, endTime",False
refreshPublicFundingPersonalEthLimit(uint256),publicFundingPersonalEthLimit,False
