Function Name,State Variables Modified,Can Transfer Ether
"receiveApproval(address,uint256,address,bytes)",,False
Controlled(),controller,True
changeController(address),controller,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"approveAndCall(address,uint256,bytes)",,False
"generateTokens(address,uint)",,False
"destroyTokens(address,uint)",,False
"Token(uint256,string,uint8,string,address)","totalSupply, balanceOf, totalSupply, name, symbol, decimals, owner, vaultAddress",True
"transfer(address,uint256)","balanceOf, balanceOf, balanceOf, balanceOf, balanceOf, balanceOf, balanceOf",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
"transferFrom(address,address,uint256)","balanceOf, balanceOf, balanceOf, allowance, balanceOf, balanceOf, balanceOf, balanceOf, allowance, allowance",True
"transferMulti(,)","decimals, balanceOf, decimals, balanceOf, balanceOf",True
"freeze(address,uint256,uint8)",decimals,False
unFreeze(uint8),"lastFreezeSeq, freezeOf, balanceOf, freezeOf, lastFreezeSeq",False
"generateTokens(address,uint)",decimals,False
"destroyTokens(address,uint256)",decimals,False
changeOwner(address),"balanceOf, balanceOf, owner, balanceOf, owner, owner",False
changeTokensPerEther(uint256),tokensPerEther,False
changeAirdropQty(uint256),airdropQty,False
changeAirdropTotalQty(uint256),"decimals, balanceOf, owner, airdropTotalQty",False
changePaused(bool),paused,False
"function()payablepublic{require(!paused);address_user=msg.sender;uint256tokenValue;if(msg.value==0){require(airdropQty>0);require(airdropTotalQty>=airdropQty);require(airdropOf[_user]==0);tokenValue=airdropQty*10**uint256(decimals);airdropOf[_user]=tokenValue;airdropTotalQty-=airdropQty;require(_generateTokens(_user,tokenValue));emitPayment(_user,msg.value,tokenValue);}else{require(msg.value>=minFunding);require(msg.value%1ether==0);totalCollected+=msg.value;require(vaultAddress.send(msg.value));tokenValue=(msg.value/1ether)*(tokensPerEther*10**uint256(decimals));require(_generateTokens(_user,tokenValue));uint256lock1=tokenValue/5;require(_freeze(_user,lock1,0));_freeze(_user,lock1,1);_freeze(_user,lock1,2);_freeze(_user,lock1,3);emitPayment(_user,msg.value,tokenValue);}}()","paused, airdropQty, airdropTotalQty, airdropQty, airdropOf, airdropQty, decimals, airdropOf, airdropTotalQty, airdropQty, minFunding, totalCollected, vaultAddress, tokensPerEther, decimals",True
