Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
totalSupply(),,False
"transfer(address,uint256)",,True
balanceOf(address),,False
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
constructor(),owner,True
transferOwnership(address),owner,False
"mint(address,uint256)",,False
finishMinting(),mintingFinished,False
constructor(address),INITIAL_SUPPLY,True
"transferGasByOwner(address,address,uint256)",,True
