Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"approve(address,uint)",,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"canCall(address,address,bytes4)",,False
constructor(),owner,True
setOwner(address),"owner, owner",False
setAuthority(),"authority, authority",False
stop(),stopped,False
start(),stopped,False
constructor(uint),,True
totalSupply(),,False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint)",,True
"transferFrom(address,address,uint)",,True
"approve(address,uint)",,True
constructor(bytes32),symbol,False
approve(address),,False
"approve(address,uint)",,False
"transferFrom(address,address,uint)",,True
"push(address,uint)",,True
"pull(address,uint)",,True
"move(address,address,uint)",,True
mint(uint),,True
burn(uint),,True
"mint(address,uint)",,False
"burn(address,uint)",,True
setName(bytes32),name,False
"tokenFallback(address,uint256,bytes)",,False
proxyPayment(address),,False
"onTransfer(address,address,uint)",,False
"onApprove(address,address,uint)",,False
"transfer(address,uint,bytes)",,False
"transferFrom(address,address,uint256,bytes)",,False
"transfer(address,uint,bytes,string)",,False
"transferFrom(address,address,uint256,bytes,string)",,False
"transferFrom(address,address,uint256)","controller, controller",True
"transferFrom(address,address,uint256,bytes)","controller, controller",True
"transfer(address,uint256,bytes)",,True
"transferFrom(address,address,uint256,bytes,string)","controller, controller",True
"transfer(address,uint,bytes,string)",,True
constructor(),owner,True
transferOwnership(address),"owner, owner",False
pause(),paused,False
unpause(),paused,False
"withdrawEther(address,uint)",,True
"withdrawTokens(,address,uint)",,True
"AKCCrowdsale(,uint,uint,uint,uint,address)","token, token, beneficiary, totalTokensForSale, steps, steps, steps, steps",False
function()externalpayable{purchase(msg.sender);}(),,True
purchase(address),"crowdsaleClosed, steps, steps, currentStep, currentStep, currentStep, steps, currentStep, currentStep, currentStep, steps, currentStep, currentStep, currentStep, steps, currentStep, totalTokensSold, totalTokensForSale, steps, currentStep, totalTokensSold, totalTokensForSale, totalTokensSold, totalTokensForSale, steps, currentStep, totalTokensSold, totalTokensSold, totalCollectedWei, totalCollectedWei, steps, currentStep, steps, currentStep, steps, currentStep, steps, currentStep, token, beneficiary",True
closeCrowdsale(),"crowdsaleClosed, beneficiary, token, beneficiary, token, crowdsaleClosed",True
