Function Name,State Variables Modified,Can Transfer Ether
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
balanceOf(address),,False
"allowance(address,address)",,False
totalSupply(),,False
RewardClaimHandler(),"rewardToken, operator",True
"registerRewards(,,uint)","winners, operator, rewardAmounts, rewardToken, winners, guaranteedClaimEndTime",True
claimReward(),"winners, rewardToken, rewardAmounts, rewardAmounts",True
retractRewards(),"winners, operator, guaranteedClaimEndTime, winners, rewardAmounts, winners, rewardAmounts, winners, rewardToken, winners",True
