Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
transferOwnership(address),"owner, owner",False
Controlled(),controller,True
changeController(address),controller,False
"approveAndCall(address,uint256,bytes)",,False
totalSupply(),,False
"balanceOfAt(address,uint)",,False
totalSupplyAt(uint),,False
"createCloneToken(string,uint8,string,uint,bool)",,False
"generateTokens(address,uint)",,False
"destroyTokens(address,uint)",,False
enableTransfers(bool),,False
claimTokens(address),,False
"addHodlerStake(address,uint)",,False
"setHodlerStake(address,uint256)",,False
setHodlerTime(uint256),,False
proxyPayment(address),,False
"onTransfer(address,address,uint)",,False
"onApprove(address,address,uint)",,False
"addHodlerStake(address,uint256)","hodlerStakes, hodlerTotalCount, hodlerTotalCount, hodlerStakes, hodlerStakes, hodlerTotalValue, hodlerTotalValue, hodlerStakes",True
"addManyHodlerStake(,)",,False
"setHodlerStake(address,uint256)","hodlerStakes, hodlerStakes, hodlerTotalCount, hodlerTotalCount, hodlerStakes, hodlerTotalCount, hodlerTotalCount, hodlerStakes, hodlerStakes, hodlerStakes, hodlerStakes, hodlerTotalValue, hodlerTotalValue, hodlerTotalValue, hodlerTotalValue, hodlerStakes",True
"setManyHodlerStake(,)",,False
setHodlerTime(uint256),"hodlerTimeStart, hodlerTime3M, hodlerTime6M, hodlerTime9M",True
invalidate(address),"hodlerStakes, hodlerStakes, hodlerStakes, hodlerTotalValue, hodlerTotalValue, hodlerStakes, hodlerTotalCount, hodlerTotalCount",False
claimHodlReward(),,True
claimHodlRewardFor(address),"hodlerStakes, hodlerStakes, hodlerStakes, hodlerTime3M, hodlerStakes, TOKEN_HODL_3M, hodlerTotalValue3M, hodlerStakes, hodlerStakes, hodlerTime6M, hodlerStakes, TOKEN_HODL_6M, hodlerTotalValue6M, hodlerStakes, hodlerStakes, hodlerTime9M, hodlerStakes, TOKEN_HODL_9M, hodlerTotalValue9M, hodlerStakes, claimedTokens, claimedTokens, owner",True
claimHodlRewardsFor(),,False
updateAndGetHodlTotalValue(),"hodlerTime3M, hodlerTime3M, hodlerTotalValue3M, hodlerTotalValue3M, hodlerTotalValue, hodlerTime6M, hodlerTime6M, hodlerTotalValue6M, hodlerTotalValue6M, hodlerTotalValue, hodlerTime9M, hodlerTime9M, hodlerTotalValue9M, hodlerTotalValue9M, hodlerTotalValue, TOKEN_HODL_9M, owner, TOKEN_HODL_3M, TOKEN_HODL_6M, claimedTokens, hodlerTotalValue",False
