Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
constructor(),,True
transferOwnership(address),,False
constructor(),"symbol, name, decimals, totalSupply, decimals, totalSupply, totalSupply",False
balanceOf(address),,False
"allowance(address,address)",,False
"transfer(address,uint256)",,True
"approve(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
freezeAccount(address),frozenAccount,False
unfreezeAccount(address),frozenAccount,False
increaseSupply(uint256),"totalSupply, totalSupply",True
decreaseSupply(uint256),"totalSupply, totalSupply",True
