Function Name,State Variables Modified,Can Transfer Ether
"function()publicpayable{if(msg.value>0)Deposit(msg.sender,msg.value);}()",,True
"MultiSigWallet(,uint)","isOwner, isOwner, owners, required",True
setToken(address),"token, token",False
"tgeSettingsChangeRequest(uint,uint,uint,uint,uint,uint,uint)",,False
confirmSettingsChange(uint),token,True
isConfirmedSettingsRequest(uint),"owners, owners, required",False
getSettingsChangeConfirmationCount(uint),"owners, owners",False
viewSettingsChange(uint),,False
addOwner(address),"isOwner, owners",False
removeOwner(address),"isOwner, owners, owners, owners, owners, owners, owners, required, owners, owners",False
"replaceOwner(address,address)","owners, owners, owners, isOwner, isOwner",False
changeRequirement(uint),required,False
setFinishedTx(),token,False
setLiveTx(),token,False
setFreezeTx(),token,False
"submitTransaction(address,uint,bytes)",,False
confirmTransaction(uint),confirmations,True
revokeConfirmation(uint),confirmations,True
executeTransaction(uint),transactions,True
isConfirmed(uint),"owners, confirmations, owners, required",False
getConfirmationCount(uint),"owners, confirmations, owners",False
"getTransactionCount(bool,bool)","transactionCount, transactions, transactions",False
getOwners(),owners,False
getConfirmations(uint),"owners, owners, confirmations, owners, owners",False
"getTransactionIds(uint,uint,bool,bool)","transactionCount, transactionCount, transactions, transactions",False
