Function Name,State Variables Modified,Can Transfer Ether
function()externalpayable{}(),,False
enableModule(),"SENTINEL_MODULES, modules, modules, modules, SENTINEL_MODULES, modules, SENTINEL_MODULES",False
"disableModule(,)","SENTINEL_MODULES, modules, modules, modules, modules",False
"execTransactionFromModule(address,uint256,bytes,)",modules,True
getModules(),"modules, SENTINEL_MODULES, SENTINEL_MODULES, modules, modules, SENTINEL_MODULES, SENTINEL_MODULES, modules",False
"addOwnerWithThreshold(address,uint256)","SENTINEL_OWNERS, owners, owners, owners, SENTINEL_OWNERS, owners, SENTINEL_OWNERS, threshold",False
"removeOwner(address,address,uint256)","SENTINEL_OWNERS, owners, owners, owners, owners, threshold",False
"swapOwner(address,address,address)","SENTINEL_OWNERS, owners, SENTINEL_OWNERS, owners, owners, owners, owners, owners",False
changeThreshold(uint256),"threshold, threshold",False
getThreshold(),threshold,False
isOwner(address),owners,False
getOwners(),"owners, SENTINEL_OWNERS, SENTINEL_OWNERS, owners",False
changeMasterCopy(address),,False
"isValidSignature(bytes,bytes)",,False
"setup(,uint256,address,bytes)","domainSeparator, domainSeparator, DOMAIN_SEPARATOR_TYPEHASH",False
"execTransaction(address,uint256,bytes,,uint256,uint256,uint256,address,address,bytes)","nonce, nonce",False
"requiredTxGas(address,uint256,bytes,)",,False
approveHash(bytes32),"owners, approvedHashes",True
signMessage(bytes),signedMessages,False
"isValidSignature(bytes,bytes)",signedMessages,False
getMessageHash(bytes),"SAFE_MSG_TYPEHASH, domainSeparator",False
"encodeTransactionData(address,uint256,bytes,,uint256,uint256,uint256,address,address,uint256)","SAFE_TX_TYPEHASH, domainSeparator",False
"getTransactionHash(address,uint256,bytes,,uint256,uint256,uint256,address,address,uint256)",,False
"setup(address,,,address)","manager, manager, manager, dutchXAddress, isWhitelistedToken, whitelistedTokens, isOperator, whitelistedOperators",True
addToWhitelist(address),"isWhitelistedToken, isWhitelistedToken, whitelistedTokens",False
removeFromWhitelist(address),"isWhitelistedToken, isWhitelistedToken, whitelistedTokens, whitelistedTokens, whitelistedTokens, whitelistedTokens, whitelistedTokens, whitelistedTokens",False
addOperator(address),"isOperator, isOperator, whitelistedOperators",False
removeOperator(address),"isOperator, isOperator, whitelistedOperators, whitelistedOperators, whitelistedOperators, whitelistedOperators, whitelistedOperators, whitelistedOperators",False
changeDXProxy(address),dutchXAddress,False
"executeWhitelisted(address,uint256,bytes)",,False
getWhitelistedTokens(),whitelistedTokens,False
getWhitelistedOperators(),whitelistedOperators,False
"transfer(address,uint)",,False
"approve(address,uint)",,False
deposit(),,False
withdraw(),,False
"deposit(address,uint256)",,False
"postSellOrder(address,address,uint256,uint256)",,False
"postBuyOrder(address,address,uint256,uint256)",,False
"claimTokensFromSeveralAuctionsAsBuyer(,,,address)",,False
"claimTokensFromSeveralAuctionsAsSeller(,,,address)",,False
withdraw(),,False
"executeWhitelisted(address,uint256,bytes)","isOperator, dutchXAddress, isWhitelistedToken, dutchXAddress, isWhitelistedToken, isWhitelistedToken, isWhitelistedToken, isWhitelistedToken, isWhitelistedToken, manager",True
