Function Name,State Variables Modified,Can Transfer Ether
constructor(),"initOwner, owner",True
addOwner(address),owner,False
delOwner(address),"owner, owner, owner, owner, owner, owner",False
changeInitOwner(address),initOwner,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
changeTokenHolder(address),allocTokenHolder,False
"allocateToken(,)","USEAddr, allocTokenHolder",True
