Function Name,State Variables Modified,Can Transfer Ether
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
isToken(),,False
"transfer(address,uint256)","balanceMap, balanceMap, balanceMap, balanceMap, balanceMap, balanceMap, balanceMap",True
"transferFrom(address,address,uint256)","balanceMap, balanceMap, balanceMap, allowanceMap, balanceMap, balanceMap, balanceMap, balanceMap, allowanceMap, allowanceMap",True
totalSupply(),globalSupply,False
balanceOf(address),balanceMap,False
"approve(address,uint)","allowanceMap, allowanceMap",True
"allowance(address,address)",allowanceMap,False
Owned(),owner,True
transferOwnership(address),owner,False
getOwner(),owner,False
AlsToken(),"globalSupply, oneMillionAls",False
setIcoAddress(address),"icoAddress, icoAddress, balanceMap, icoAddress, oneMillionAls, icoAddress",False
burnIcoTokens(),"icoTokensWereBurned, icoTokensWereBurned, balanceMap, icoAddress, balanceMap, icoAddress, globalSupply, globalSupply, icoAddress",False
"allocateTeamAndPartnerTokens(address,address)","icoTokensWereBurned, teamTokensWereAllocated, globalSupply, balanceMap, globalSupply, globalSupply, balanceMap, globalSupply, globalSupply, teamTokensWereAllocated",False
