Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"InsightsNetworkContributions(string,uint256,uint256,uint256,uint256)","name, cap, contributionMinimum, contributionMaximum, gasPriceMaximum",False
function()externalpayable{contribute();}(),,False
contribute(),"gasPriceMaximum, registered, balances, contributionMinimum, contributionMaximum, cap, balances",True
enable(bool),,False
"register(address,bool)",registered,False
"registerMultiple(,bool)",registered,False
"transfer(address,uint256)",owner,True
selfDestruct(),owner,False
