Function Name,State Variables Modified,Can Transfer Ether
constructor(),"administrators, ambassadors_",True
buy(address),,False
"function()payablepublic{purchaseTokens(msg.value,0x0);}()",,False
deposit_dividends(),"tokenSupply_, profitPerShare_",False
reinvest(),"payoutsTo_, magnitude, referralBalance_, referralBalance_",True
exit(),tokenBalanceLedger_,True
withdraw(),"payoutsTo_, magnitude, referralBalance_, referralBalance_",True
sell(uint256),"tokenBalanceLedger_, dividendFee_, tokenSupply_, tokenSupply_, tokenBalanceLedger_, tokenBalanceLedger_, profitPerShare_, magnitude, payoutsTo_, tokenSupply_, profitPerShare_, profitPerShare_",True
"transfer(address,uint256)","onlyAmbassadors, tokenBalanceLedger_, dividendFee_, tokenSupply_, tokenSupply_, tokenBalanceLedger_, tokenBalanceLedger_, tokenBalanceLedger_, tokenBalanceLedger_, payoutsTo_, profitPerShare_, payoutsTo_, profitPerShare_, profitPerShare_, profitPerShare_",True
disableInitialAmbassadorStage(),onlyAmbassadors,False
disableInitialStage(),"onlyAmbassadors, enableAntiWhale",False
"setAdministrator(address,bool)",administrators,False
setStakingRequirement(uint256),stakingRequirement,False
setName(string),name,False
setSymbol(string),symbol,False
cleanUpRounding(),tokenSupply_,True
totalEthereumBalance(),,False
totalSupply(),tokenSupply_,False
myTokens(),,True
myDividends(bool),referralBalance_,True
balanceOf(address),tokenBalanceLedger_,False
dividendsOf(address),"profitPerShare_, tokenBalanceLedger_, payoutsTo_, magnitude",False
sellPrice(),"tokenSupply_, tokenPriceInitial_, tokenPriceIncremental_, dividendFee_",False
buyPrice(),"tokenSupply_, tokenPriceInitial_, tokenPriceIncremental_, dividendFee_",False
calculateTokensReceived(uint256),dividendFee_,False
calculateEthereumReceived(uint256),"tokenSupply_, dividendFee_",False
setup(address),Treasury_,False
lockInTreasury(),"Treasury_, profitPerShare_, treasuryBalanceLedger_, payoutsTo_, magnitude, payoutsTo_, magnitude, referralBalance_, referralBalance_, Treasury_",False
deposit(),,False
status(),,False
startMigration(address),,False
cancelMigration(),,False
finishMigration(),,False
setup(address),,False
