Function Name,State Variables Modified,Can Transfer Ether
owned(),owner,True
balanceOf(address),,False
"transfer(address,uint)",,False
"transferFrom(address,address,uint)",,False
"approve(address,uint)",,False
"allowance(address,address)",,False
totalSupply(),,False
balanceOf(address),,False
ownerOf(uint256),,False
"approve(address,uint256)",,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
supportsInterface(bytes4),,False
changeOwner(address),owner,False
"function()externalpayable{owner.transfer(msg.value);EtherReceived(msg.sender,msg.value);}()",owner,True
sweep(),owner,True
"transferToken(address,address,uint256)",,True
sweepToken(address),owner,True
"transferTokenFrom(address,address,address,uint256)",,True
"approveTokenTransfer(address,address,uint256)",,False
"transferNonFungibleToken(address,address,uint256)",,True
"transferNonFungibleTokenFrom(address,address,address,uint256)",,True
"transferNonFungibleTokenMulti(address,address,)",,True
