Function Name,State Variables Modified,Can Transfer Ether
"receiveApproval(address,uint256,address,bytes)",,False
BGXToken(),"balanceOf, availableSupply, balanceOf, availableSupply, balanceOf, availableSupply, balanceOf, availableSupply, balanceOf, availableSupply, balanceOf, availableSupply, balanceOf, availableSupply, availableSupply",True
function()payablepublic{require(!finalised);require(block.timestamp>=startTime);require(block.timestamp<=endTime);require(ethRaised<hardCap);require(msg.value>=minimumDonation);uint256etherValue=msg.value;if(ethRaised+etherValue>hardCap){etherValue=hardCap-ethRaised;assert(msg.value>etherValue);msg.sender.transfer(msg.value-etherValue);}ethFundAddress.transfer(etherValue);donationCount+=1;ethRaised+=etherValue;}(),finalised,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, allowance",True
"approve(address,uint256)",allowance,True
"approveAndCall(address,uint256,bytes)",,True
burn(uint256),"balanceOf, balanceOf, totalSupply",True
"burnFrom(address,uint256)","balanceOf, allowance, balanceOf, allowance, totalSupply",True
finalise(),"finalised, finalised",True
setLockEndTime(uint256),,True
