Function Name,State Variables Modified,Can Transfer Ether
constructor(),owner,True
setOwner(address),owner,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
constructor(),,False
totalSupply(),,False
function()public{revert();}(),,False
balanceOf(address),,False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
"approve(address,uint256)",,True
"allowance(address,address)",,False
"mint(address,uint256)",,False
constructor(),,False
blockTime(),,False
function()publicpayable{revert();}(),,False
"initialize(,address)",initialized,False
finalize(),"finalized, finalized",False
