Function Name,State Variables Modified,Can Transfer Ether
setProofType(byte),,False
setCustomGasPrice(uint),,False
getPrice(string),,False
randomDS_getSessionPubKeyHash(),,False
"getPrice(string,uint)",,False
"queryN(uint,string,bytes)",,False
"query(uint,string,string)",,False
"query2(uint,string,string,string)",,False
"query_withGasLimit(uint,string,string,uint)",,False
"queryN_withGasLimit(uint,string,bytes,uint)",,False
"query2_withGasLimit(uint,string,string,string,uint)",,False
getAddress(),,False
"__callback(bytes32,string)",,True
"__callback(bytes32,string,bytes)",,False
transferContractOwnership(address),newOwner,False
acceptContractOwnership(),"newOwner, owner, newOwner",True
"mint(address,address)",,False
constructor(),owner,False
setClaimPrice(uint256),claimPriceInWei,False
setContractActiveState(bool),contractPaused,False
"activateClaim(address,string,address,string)","contractPaused, accountId, claimPriceInWei, accountCheck, accountCheck, accountCheck",False
"__callback(bytes32,string)","accountId, accountCheck, accountWallet, accountCheck, accountCheck, accountId, accountCheck, accountWallet, accountCheck, accountCheck, accountCheck, accountCheck, PAXTRContract, accountCheck, owner",True
stringToBytes32(string),,False
withdrawEth(),owner,True
