Function Name,State Variables Modified,Can Transfer Ether
DailyDivsSavings(),"ceo, ceo2",True
ethereumToTokens_(uint),tokenPriceInitial_,False
tokensToEthereum_(uint),tokenPriceInitial_,False
myHalfDividends(),,True
myDividends(),,True
dividendsOf(address),"profitPerShare_, tokenBalanceLedger_, payoutsTo_, magnitude",False
balance(),,False
mySavings(),tokenBalanceLedger_,True
depositNoRef(),,False
deposit(address),"referrer, referrer, refBuys",True
sell(uint),,False
reinvest(),"payoutsTo_, magnitude, referralsHeld, referralsHeld, referralsHeld, referrer, referralsHeld, ceo, referralsHeld, ceo, referralsHeld, ceo2, referralsHeld, ceo2, referralsHeld, referralsHeld",True
