Function Name,State Variables Modified,Can Transfer Ether
name(),,False
symbol(),,False
totalSupply(),,False
balanceOf(address),,False
"transfer(address,uint256)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"allowance(address,address)",,False
"transferAndCall(address,uint,bytes)",,False
"tokenFallback(address,uint256,bytes)",,False
PonziToken(),"m_owner, m_bank, m_state, m_decimals, m_name, m_symbol",True
initContract(),"m_maxTokensPerAddress, m_decimals, m_maxTokensPerAddress, m_decimals, m_totalSupply, m_decimals, m_balances, m_totalSupply, m_balances, m_totalSupply, m_balances, m_allowed, m_owner, m_balances",True
balanceOf(address),m_balances,False
name(),m_name,False
symbol(),m_symbol,False
decimals(),m_decimals,False
totalSupply(),m_totalSupply,False
"transfer(address,uint256)","m_balances, m_balances, m_balances, m_balances",True
"transferFrom(address,address,uint256)","m_balances, m_balances, m_balances, m_balances, m_allowed, m_allowed",True
"approve(address,uint256)","m_allowed, m_allowed",True
"allowance(address,address)",m_allowed,False
"increaseApproval(address,uint)","m_allowed, m_allowed, m_allowed",True
"decreaseApproval(address,uint)","m_allowed, m_allowed, m_allowed, m_allowed",True
"transferAndCall(address,uint256,bytes)","m_balances, m_balances, m_balances, m_balances",True
"transferAllAndCall(address,bytes)",m_balances,True
byTokens(),"m_balances, m_maxTokensPerAddress, m_tokenPriceInWei, m_tokenPriceInWei, m_maxTokensPerAddress, m_balances, m_tokenPriceInWei, m_tokenPriceInWei, m_pendingWithdrawals, m_pendingWithdrawals, m_myDebtInWei, m_myDebtInWei, m_balances, m_balances, m_balances, m_balances, m_owner, m_myDebtInWei, m_bank, m_myDebtInWei, m_tokenPriceInWei",True
withdraw(),"m_pendingWithdrawals, m_pendingWithdrawals, m_myDebtInWei, m_myDebtInWei",True
function()publicpayableatState(State.Sale){byTokens();}(),,False
pendingWithdrawals(address),m_pendingWithdrawals,False
state(),"m_state, PRE_SALE_STR, m_state, SALE_STR, m_state, PUBLIC_USE_STR",False
tokenPriceInWei(),,False
bank(),m_bank,False
firstEntranceToSaleStateUNIX(),m_firstEntranceToSaleStateUNIX,False
priceSetter(),m_priceSetter,False
disown(),m_owner,False
setState(string),"PRE_SALE_STR, m_state, SALE_STR, m_firstEntranceToSaleStateUNIX, m_firstEntranceToSaleStateUNIX, m_state, PUBLIC_USE_STR, m_state, m_state",True
setAndFixTokenPriceInWei(uint256),"m_owner, m_priceSetter, m_isFixedTokenPrice, m_tokenPriceInWei, m_tokenPriceInWei, m_isFixedTokenPrice",True
unfixTokenPriceInWei(),"m_owner, m_priceSetter, m_isFixedTokenPrice, m_tokenPriceInWei, m_isFixedTokenPrice",True
setPriceSetter(address),m_priceSetter,False
setBank(address),m_bank,False
