Function Name,State Variables Modified,Can Transfer Ether
"tokenFallback(address,uint256,bytes)",,False
constructor(),"isAdmin, canMint, canTransferFromContract, canBurn",True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","allowance, canTransferFromContract, balanceOf, balanceOf, balanceOf, balanceOf, balanceOf, allowance, allowance, tokensInEventsCounter, tokensInTransfer, tokensInEventsCounter, tokensInTransfer, tokensInEventsCounter, tokensInTransfer, tokensInEventsCounter, tokensInEventsCounter",True
"transferAndCall(address,uint256,bytes)",,True
"transferAllAndCall(address,bytes)",balanceOf,True
addAdmin(address),"isAdmin, isAdmin",True
removeAdmin(address),"isAdmin, isAdmin",True
changeMinExchangeAmount(uint256),isAdmin,True
addToCanMint(address),"isAdmin, canMint",True
removeFromCanMint(address),"isAdmin, canMint",True
addToCanTransferFromContract(address),"isAdmin, canTransferFromContract",True
removeFromCanTransferFromContract(address),"isAdmin, canTransferFromContract",True
addToCanBurn(address),"isAdmin, canBurn",True
removeFromCanBurn(address),"isAdmin, canBurn",True
"mintTokens(uint256,uint256)","canMint, fiatInPaymentIds, totalSupply, totalSupply, balanceOf, balanceOf, mintTokensEventsCounter, mintTokensEvent, mintTokensEventsCounter, mintTokensEvent, mintTokensEventsCounter, mintTokensEvent, mintTokensEventsCounter, mintTokensEvent, mintTokensEventsCounter, mintTokensEvent, mintTokensEventsCounter, totalSupply, fiatInPaymentsToMintTokensEvent, mintTokensEvent, mintTokensEventsCounter, totalSupply, mintTokensEventsCounter, fiatInPaymentIds",True
"mintAndTransfer(uint256,uint256,address)",,True
"burnTokens(uint256,uint256,uint256)","canBurn, balanceOf, fiatOutPaymentIdsUsed, balanceOf, balanceOf, totalSupply, totalSupply, burnTokensEventsCounter, burnTokensEvents, burnTokensEventsCounter, burnTokensEvents, burnTokensEventsCounter, burnTokensEvents, burnTokensEventsCounter, burnTokensEvents, burnTokensEventsCounter, burnTokensEvents, burnTokensEventsCounter, burnTokensEvents, burnTokensEventsCounter, totalSupply, totalSupply, fiatOutPaymentIdsUsed",True
