Function Name,State Variables Modified,Can Transfer Ether
"mintTokens(address,uint256)","balanceOf, balanceOf, totalSupply, totalSupply",False
burnTokens(address),"balanceOf, balanceOf, balanceOf, totalSupply, totalSupply",False
setRate(uint),"Rate_Eth, Token_Price, Rate_Eth",False
startIco(),,False
pauseIco(),,False
finishIco(),"tkt, tkt, BountyFund, tkt, AdvisorsFund, tkt, ItdFund, tkt, StorageFund, tkt, BountyFund, AdvisorsFund, ItdFund, StorageFund",False
"function()externalpayable{buy(msg.sender,msg.value*Token_Price);}()",Token_Price,True
"buyForInvestor(address,uint,string)",,False
getBonus(uint),,False
withdrawEther(uint256),Company,True
"mint(address,uint)","totalSupply, totalSupply",False
defrost(),tokensAreFrozen,False
