Function Name,State Variables Modified,Can Transfer Ether
balanceOf(address),,False
"transfer(address,uint256)",,False
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
"transfer(address,uint256)",,True
balanceOf(address),,False
"allowance(address,address)",,False
"transferFrom(address,address,uint256)",,False
"approve(address,uint256)",,False
"transferFrom(address,address,uint256)","allowed, allowed, allowed",True
"approve(address,uint256)",allowed,True
"allowance(address,address)",allowed,False
"increaseApproval(address,uint)","allowed, allowed, allowed",True
"decreaseApproval(address,uint)","allowed, allowed, allowed, allowed",True
burn(uint256),"totalSupply, totalSupply",True
"SHIPToken(address,address)","totalSupply, INITIAL_SUPPLY, crowdSaleAllowance, CROWDSALE_ALLOWANCE, teamAllowance, TEAM_ALLOWANCE, reserveAllowance, RESERVE_ALLOWANCE, totalSupply, teamAllowance, reserveAllowance, totalSupply, teamAllowance, reserveAllowance, teamAllowance, teamAllowance, reserveAllowance, reserveAllowance, teamAddr, teamAddr, teamAllowance, reserveAddr, reserveAddr, reserveAllowance",True
"setCrowdsale(address,uint256)","crowdSaleAllowance, crowdSaleAllowance, crowdSaleAddr, crowdSaleAddr",False
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)","crowdSaleAddr, crowdSaleAllowance, crowdSaleAllowance, teamAddr, teamAllowance, teamAllowance",True
burn(uint256),"transferEnabled, owner",True
