Function Name,State Variables Modified,Can Transfer Ether
Ownable(),owner,True
transferOwnership(address),"owner, owner",False
VitManToken(),totalSupply,True
"transfer(address,uint256)",,True
"transferFrom(address,address,uint256)",,True
balanceOf(address),,False
"approve(address,uint256)",,True
"allowance(address,address)",,False
"increaseApproval(address,uint)",,True
"decreaseApproval(address,uint)",,True
burn(uint256),totalSupply,True
"burnFrom(address,uint256)",totalSupply,True
"mint(address,uint256)",totalSupply,False
setStartBalance(uint256),startBalance,False
